번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,문화사업자구분명,지역구분명,총층수,주변환경명,제작취급품목내용,보험기관명,건물용도명,지상층수,지하층수,객실수,건축연면적,영문상호명,영문상호주소,선박총톤수,선박척수,선박제원,무대면적,좌석수,기념품종류,회의실별동시수용인원,시설면적,놀이기구수내역,놀이시설수,방송시설유무,발전시설유무,의무실유무,안내소유무,기획여행보험시작일자,기획여행보험종료일자,자본금,보험시작일자,보험종료일자,부대시설내역,시설규모,Unnamed: 63
127,관광식당,07_24_01_P,3820000,CDFI3261042004000001,2004-05-14,,1,영업/정상,13,영업중,,,,,846-5742,,480-843,경기도 의정부시 의정부동 201-11번지 (1층),경기도 의정부시 평화로 564 (의정부동),11692,팔가,2011-10-30 14:03:18,I,2018-08-31 23:59:59,,204086.88577535,471086.022932465,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,관광식당,07_24_01_P,3820000,CDFI3261042006000001,2006-04-03,,1,영업/정상,13,영업중,,,,,846-2047,,480-843,경기도 의정부시 의정부동 196-14번지,경기도 의정부시 호국로1298번길 78  (의정부동),,지동관,2009-08-03 18:23:14,I,2018-08-31 23:59:59,,204184.193946448,470833.335764523,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,관광식당,07_24_01_P,3140000,CDFI3261042004000001,2004-11-11,,1,영업/정상,13,영업중,,,,,,,158-715,서울특별시 양천구 목동 923-1번지 방송회관,,,주)63시티방송회관클럽백리향,2004-12-07 15:41:54,I,2018-08-31 23:59:59,,188525.077879574,447159.173447278,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,관광식당,07_24_01_P,3140000,CDFI3261042004000002,2004-11-11,,1,영업/정상,13,영업중,,,,,,,158-050,서울특별시 양천구 목동 923-5번지,서울특별시 양천구 목동동로 233  (목동),07995,(주)63시티방송회관클럽백리향,2005-05-07 12:25:51,I,2018-08-31 23:59:59,,188572.108662809,447198.912625565,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,관광식당,07_24_01_P,3140000,CDFI3261042016000001,2016-12-13,,1,영업/정상,13,영업중,,,,,,,,서울특별시 양천구 신월동 427-2번지,서울특별시 양천구 월정로 65 (신월동),07929,미스차이나,2019-01-14 13:57:58,U,2019-01-16 02:40:00,,185869.982582765,447025.836436273,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,관광식당,07_24_01_P,5590000,CDFI3261042019000001,2019-02-28,,1,영업/정상,13,영업중,,,,,031-867-1007,,,경기도 양주시 은현면 선암리 522-2번지,경기도 양주시 은현면 은현로 7,11427,대륙짬뽕,2019-02-22 16:44:55,I,2019-02-24 02:21:30,,201803.522773077,485283.277172028,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,관광식당,07_24_01_P,4190000,CDFI3261042008000002,2008-09-24,,1,영업/정상,13,영업중,,,,,033-744-2114,,220-938,강원도 원주시 단계동 858-2번지,강원도 원주시 천사로 34 (단계동),26436,샹하이문,2011-12-16 11:26:39,I,2018-08-31 23:59:59,,282294.641592041,427702.503165176,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,관광식당,07_24_01_P,4190000,CDFI3261042009000001,2009-06-10,,1,영업/정상,13,영업중,,,,,033-742-5188,,220-963,강원도 원주시 학성동 206-8번지,강원도 원주시 중앙로 171 (학성동),26415,산동원,2014-01-27 17:34:01,I,2018-08-31 23:59:59,,283939.404840857,428242.623178472,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,관광식당,07_24_01_P,4190000,CDFI3261041998000001,1998-06-26,,1,영업/정상,13,영업중,,,,,033)730-3500,,220-821,강원도 원주시 지정면 월송리 산 2-2번지,강원도 원주시 지정면 신평석화로 236,26358,오크밸리클럽하우스,2011-12-16 10:00:23,I,2018-08-31 23:59:59,,,,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,429.5,,,,,,,,,,,,,430.0,
136,관광식당,07_24_01_P,4190000,CDFI3261042002000001,2002-10-25,,1,영업/정상,13,영업중,,,,,033)742-9604,,220-955,강원도 원주시 우산동 231-11번지,강원도 원주시 우산초교길 19-8 (우산동),26343,래래반점,2011-12-16 10:10:02,I,2018-08-31 23:59:59,,283062.796140498,429825.31055159,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,330.0,,,,,,,,,,,,,330.0,
137,관광식당,07_24_01_P,4190000,CDFI3261042005000001,2005-06-27,,1,영업/정상,13,영업중,,,,,033-742-2350,,220-904,강원도 원주시 중앙동 120번지,강원도 원주시 중앙로 85 (중앙동),26428,중앙동 래래반점,2011-12-16 11:46:07,I,2018-08-31 23:59:59,,284219.575259381,427821.922112172,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,관광식당,07_24_01_P,4190000,CDFI3261042006000001,2006-04-04,,1,영업/정상,13,영업중,,,,,033-766-6941,,220-944,강원도 원주시 단구동 1511-2번지 651 스타빌딩 2층,강원도 원주시 서원대로 396 (단구동),26484,아웃백스테이크하우스,2011-12-16 11:19:40,I,2018-08-31 23:59:59,,284012.197863588,425846.256339564,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,관광식당,07_24_01_P,4190000,CDFI3261042008000001,2008-10-23,,1,영업/정상,13,영업중,,,,,033-742-3163,,220-963,강원도 원주시 학성동 207-18번지,강원도 원주시 원일로 148-7 (학성동),26415,연강춘,2013-12-17 12:42:56,I,2018-08-31 23:59:59,,283887.605526777,428216.355236915,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,관광식당,07_24_01_P,4760000,CDFI3261042010000001,2010-04-15,,1,영업/정상,13,영업중,,,,,063-644-2929,,566-803,전라북도 임실군 임실읍 두곡리 26-6번지,전라북도 임실군 임실읍 춘향로 2933,55923,옛날짜장,2011-10-30 15:42:16,I,2018-08-31 23:59:59,,226104.27594798,236975.707148179,관광식당업,,,1.0,,,,,1.0,,,,,,,,,,,,,123.29,,,,,,,,,,,,,123.0,
141,관광식당,07_24_01_P,4760000,CDFI3261042008000002,2008-10-15,,1,영업/정상,13,영업중,,,,,0636431000,,566-831,전라북도 임실군 신덕면 지장리 산 7번지,전라북도 임실군 신덕면 수지로 559-90,55901,전주샹그릴라컨트리클럽,2011-10-30 15:41:19,I,2018-08-31 23:59:59,,218211.198782505,245156.65954933,관광식당업,,,1.0,,,,,1.0,,,,,,,,,,,,,1009.6,,,,,,,,,,,,,1010.0,
142,관광식당,07_24_01_P,6520000,CDFI3261041997000001,1997-02-11,,1,영업/정상,13,영업중,,,,,738-0500,,697-301,제주특별자치도 서귀포시 상예동 144번지,제주특별자치도 서귀포시 상예로 381  (상예동),,대유식당,2003-03-04 16:08:59,I,2018-08-31 23:59:59,,143586.421823655,-24099.0494414456,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,관광식당,07_24_01_P,4170000,CDFI3261042003000001,2003-03-25,,1,영업/정상,13,영업중,,,,,,,476-922,경기도 양평군 강하면 전수리 17-3번지,경기도 양평군 강하면 강남로 489,,힐하우스,2003-03-25 14:09:34,I,2018-08-31 23:59:59,,238838.632436965,444911.130278097,관광식당업,관광사업,주거지역,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,관광식당,07_24_01_P,4170000,CDFI3261042003000002,2003-03-25,,1,영업/정상,13,영업중,,,,,,,476-922,경기도 양평군 강하면 전수리 17-3번지,경기도 양평군 강하면 강남로 489,,스완레스토랑,2003-03-25 14:10:31,I,2018-08-31 23:59:59,,238838.632436965,444911.130278097,관광식당업,관광사업,주거지역,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,관광식당,07_24_01_P,4170000,CDFI3261042003000003,2003-03-25,,1,영업/정상,13,영업중,,,,,,,476-922,경기도 양평군 강하면 전수리 16-3번지,경기도 양평군 강하면 강남로 489,,아미고,2003-03-25 14:11:27,I,2018-08-31 23:59:59,,238867.853617776,444902.973215552,관광식당업,관광사업,주거지역,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,관광식당,07_24_01_P,4070000,CDFI3261042001000001,2001-12-06,,1,영업/정상,13,영업중,,,,,637-6334,,467-866,경기도 이천시 부발읍 아미리 726-29번지,,,로마광광나이트,2006-06-08 11:51:38,I,2018-08-31 23:59:59,,243394.297666666,416797.164,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,관광식당,07_24_01_P,4140000,CDFI3261042005000001,2005-07-18,,1,영업/정상,13,영업중,,,,,,,486-904,경기도 연천군 전곡읍 전곡리 305-4번지,경기도 연천군 전곡읍 전곡역로 61,11034,명신반점,2013-12-31 16:39:44,I,2018-08-31 23:59:59,,206054.462506306,502378.148259213,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,관광식당,07_24_01_P,3070000,CDFI3261042003000001,2003-10-07,,1,영업/정상,13,영업중,,,,,02-953-4652,,136-075,서울특별시 성북구 안암동5가 104-221,서울특별시 성북구 인촌로26길 51 (안암동5가),02856,갑천하,2021-06-17 16:03:52,U,2021-06-19 02:40:00,,202599.441074279,453516.378623277,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,관광식당,07_24_01_P,3070000,CDFI3261042006000001,2006-12-04,,1,영업/정상,13,영업중,,,,,02-928-3344,,136-034,서울특별시 성북구 동소문동4가 230,서울특별시 성북구 동소문로13가길 16 (동소문동4가),02832,청도,2021-06-17 16:03:34,U,2021-06-19 02:40:00,,200994.361119946,454403.350493166,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,관광식당,07_24_01_P,3070000,CDFI3261042007000001,2007-03-02,,1,영업/정상,13,영업중,,,,,02-929-7050,,136-075,서울특별시 성북구 안암동5가 86-185번지,서울특별시 성북구 인촌로28길 17  (안암동5가),,미스터왕,2013-01-21 11:00:52,I,2018-08-31 23:59:59,,202659.51854268,453711.18076986,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,관광식당,07_24_01_P,3070000,CDFI3261042007000002,2007-03-13,,1,영업/정상,13,영업중,,,,,02-923-3888,,136-075,서울특별시 성북구 안암동5가 101-66,서울특별시 성북구 개운사길 21-3 (안암동5가),136-075,화원,2021-06-17 16:05:07,U,2021-06-19 02:40:00,,202481.894556199,453888.797815133,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,관광식당,07_24_01_P,3070000,CDFI3261042008000001,2008-03-31,,1,영업/정상,13,영업중,,,,,02-923-9577,,136-075,서울특별시 성북구 안암동5가 134-35,서울특별시 성북구 안암로 69-1 (안암동5가),02855,고려성,2021-06-17 16:05:23,U,2021-06-19 02:40:00,,202477.829166677,453373.510644992,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,관광식당,07_24_01_P,3070000,CDFI3261042008000004,2008-07-15,,1,영업/정상,13,영업중,,,,,02-921-9982,,136-075,서울특별시 성북구 안암동5가 102-59,서울특별시 성북구 인촌로24길 27 (안암동5가),02856,베나레스,2021-06-17 16:05:42,U,2021-06-19 02:40:00,,202540.314366732,453625.734726913,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,관광식당,07_24_01_P,3070000,CDFI3261041998000001,1998-11-23,,1,영업/정상,13,영업중,,,,,02-762-1448,,136-822,서울특별시 성북구 성북동 산 5-1,서울특별시 성북구 북악산로 637 (성북동),02821,곰의집,2021-06-17 16:04:13,U,2021-06-19 02:40:00,,200400.129158269,454940.942694857,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,관광식당,07_24_01_P,3020000,CDFI3261042008000003,2008-12-29,,1,영업/정상,13,영업중,,,,,749-3336,,140-863,서울특별시 용산구 이태원동 116-15번지 지상1층,"서울특별시 용산구 이태원로27가길 50  (이태원동,지상1층)",,새골목집,2009-08-07 09:48:20,I,2018-08-31 23:59:59,,199268.825287838,448094.819004627,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,관광식당,07_24_01_P,3020000,CDFI3261042008000005,2008-09-29,,1,영업/정상,13,영업중,,,,,2012-0567,,140-780,서울특별시 용산구 한강로3가 40-999번지 현대아이파크몰 5층 514,,,쿠아타이,2009-08-07 09:57:17,I,2018-08-31 23:59:59,,196762.077394917,447480.039577359,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,관광식당,07_24_01_P,3020000,CDFI3261042010000001,2010-02-16,,1,영업/정상,13,영업중,,,,,02-3270-7533,,140-170,서울특별시 용산구 동자동 43-205번지 3층 301호,,,티원(T-Won),2010-12-21 19:37:40,I,2018-08-31 23:59:59,,197373.839856311,450014.537949042,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,관광식당,07_24_01_P,3020000,CDFI3261042009000012,2009-09-28,,1,영업/정상,13,영업중,,,,,749-0446,,140-892,서울특별시 용산구 한남동 683-122번지 지상1층,"서울특별시 용산구 이태원로 232  (한남동,지상1층)",,니시키,2009-10-13 09:11:54,I,2018-08-31 23:59:59,,199883.712613229,448151.526695901,관광식당업,,,,,,,,,,,,Nisiki,,,,,,,,,,,,,,,,,,,,,,,
159,관광식당,07_24_01_P,3020000,CDFI3261042009000013,2009-11-04,,1,영업/정상,13,영업중,,,,,,,140-858,서울특별시 용산구 이태원동 127-3번지,서울특별시 용산구 이태원로 190  (이태원동),,판쵸스,2009-11-18 10:42:37,I,2018-08-31 23:59:59,,199501.662940118,448010.125875207,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,관광식당,07_24_01_P,3020000,CDFI3261042009000014,2009-11-04,,1,영업/정상,13,영업중,,,,,,,140-887,서울특별시 용산구 한남동 653-1번지 지상1층,"서울특별시 용산구 대사관로 52  (한남동,지상1층)",,취룡,2009-11-18 10:45:00,I,2018-08-31 23:59:59,,200270.981734911,447892.865925447,관광식당업,,,,,,,,,,,,chui ryong,,,,,,,,,,,,,,,,,,,,,,,
161,관광식당,07_24_01_P,3020000,CDFI3261042009000015,2009-11-04,,1,영업/정상,13,영업중,,,,,,,140-031,서울특별시 용산구 이촌동 300-23번지,서울특별시 용산구 이촌로 248  (이촌동),,르어 이촌점,2009-11-18 10:47:44,I,2018-08-31 23:59:59,,197722.571038558,446344.591216568,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,관광식당,07_24_01_P,3020000,CDFI3261042008000006,2008-09-29,,1,영업/정상,13,영업중,,,,,7020424,,140-851,서울특별시 용산구 원효로4가 137번지,서울특별시 용산구 효창원로 4  (원효로4가),,(주)테크데이타 원효로지점 포이삽사,2009-08-07 09:59:22,I,2018-08-31 23:59:59,,195563.788982635,447943.344696362,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,관광식당,07_24_01_P,3020000,CDFI3261042008000007,2008-09-08,,1,영업/정상,13,영업중,,,,,2012-0696,,140-780,서울특별시 용산구 한강로3가 40-999번지 현대아이몰 6층,,,경풍루,2009-08-07 10:01:16,I,2018-08-31 23:59:59,,196762.077394917,447480.039577359,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,관광식당,07_24_01_P,3020000,CDFI3261042008000008,2008-07-21,,1,영업/정상,13,영업중,,,,,553-9000,,140-858,서울특별시 용산구 이태원동 124-12번지 지하1층,"서울특별시 용산구 이태원로27나길 36  (이태원동,지하1층)",,빌라소르티노,2009-08-07 10:04:02,I,2018-08-31 23:59:59,,199632.959605916,448092.468023687,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,관광식당,07_24_01_P,3020000,CDFI3261042008000009,2008-07-02,,1,영업/정상,13,영업중,,,,,,,140-864,서울특별시 용산구 이태원동 172-2번지 덕흥빌딩 지하1층,"서울특별시 용산구 이태원로 153  (이태원동,덕흥빌딩 지하1층)",,아그라,2009-08-07 10:08:20,I,2018-08-31 23:59:59,,199134.104509862,448041.698469517,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,관광식당,07_24_01_P,3020000,CDFI3261042008000010,2008-06-14,,1,영업/정상,13,영업중,,,,,795-6751,,140-884,서울특별시 용산구 한남동 263-10번지,서울특별시 용산구 독서당로 73  (한남동),,웨스턴차이나,2009-08-07 10:54:20,I,2018-08-31 23:59:59,,200693.652523916,447995.83193563,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,관광식당,07_24_01_P,3020000,CDFI3261042008000012,2008-06-10,,1,영업/정상,13,영업중,,,,,798-9277,,140-858,서울특별시 용산구 이태원동 127-2번지 지상2층,"서울특별시 용산구 이태원로 192  (이태원동,지상2층)",,두바이,2009-08-07 10:58:59,I,2018-08-31 23:59:59,,199520.280404591,448012.047528971,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,관광식당,07_24_01_P,3020000,CDFI3261042008000013,2008-04-25,,1,영업/정상,13,영업중,,,,,798-1253,,140-884,서울특별시 용산구 한남동 732-151번지,서울특별시 용산구 우사단로10길 45  (한남동),,와즈완,2009-08-07 11:01:41,I,2018-08-31 23:59:59,,199761.516540919,447856.18609032,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,관광식당,07_24_01_P,3020000,CDFI3261042008000014,2008-03-31,,1,영업/정상,13,영업중,,,,,793-8845,,140-857,서울특별시 용산구 이태원동 228-6번지 지상4층,"서울특별시 용산구 회나무로 57  (이태원동,지상4층)",,마오,2009-08-07 11:03:32,I,2018-08-31 23:59:59,,199303.388556154,448682.619580638,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,관광식당,07_24_01_P,3020000,CDFI3261042008000015,2008-02-01,,1,영업/정상,13,영업중,,,,,749-9287,,140-863,서울특별시 용산구 이태원동 118-20번지 지상2층,"서울특별시 용산구 이태원로27가길 54  (이태원동,지상2층)",,마이차이나,2009-08-07 11:05:48,I,2018-08-31 23:59:59,,199246.941302984,448082.396562882,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,관광식당,07_24_01_P,3020000,CDFI3261042009000001,2009-04-23,,1,영업/정상,13,영업중,,,,,749-0903,,140-201,서울특별시 용산구 이태원동 457-1번지 지하1층,"서울특별시 용산구 녹사평대로40길 48  (이태원동,지하1층)",,베를린,2009-08-05 15:46:52,I,2018-08-31 23:59:59,,198905.866642761,448018.863747554,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,관광식당,07_24_01_P,3020000,CDFI3261041996000001,1996-12-24,,1,영업/정상,13,영업중,,,,,796-5501,,140-899,서울특별시 용산구 후암동 340-5번지,서울특별시 용산구 두텁바위로60길 25  (후암동),,모글인테내셔날(파키스탄),2009-08-24 14:10:25,I,2018-08-31 23:59:59,,198418.600308419,449786.82200874,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,관광식당,07_24_01_P,3020000,CDFI3261041997000001,1997-12-26,,1,영업/정상,13,영업중,,,,,580-8122,,140-861,서울특별시 용산구 이태원동 534번지,서울특별시 용산구 녹사평대로 206  (이태원동),,이탈리아노(이태리식),2009-08-24 14:12:22,I,2018-08-31 23:59:59,,198813.164235318,448200.24615366,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,관광식당,07_24_01_P,3020000,CDFI3261041999000001,1999-12-24,,1,영업/정상,13,영업중,,,,,796-4100,,140-890,"서울특별시 용산구 한남동 762-162번지 1,2층",,,세종식당(한국전통식),2009-08-24 14:16:08,I,2018-08-31 23:59:59,,,,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,관광식당,07_24_01_P,3020000,CDFI3261042001000001,2001-06-02,,1,영업/정상,13,영업중,,,,,790-2322,,140-884,서울특별시 용산구 한남동 722-16번지,,,남해숫불갈비(한국전통식),2009-08-24 16:43:50,I,2018-08-31 23:59:59,,200371.939996585,448388.684012946,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
